cities,Boston,Boulder,Chicago,Disneyland,Miami,New Orleans,New York,Portland,San Francisco,Seattle
Boston,0,0,982,0,1491,1548,215,0,0,0
Boulder,0,0,1130,1023,0,1307,1791,1241,1221,1315
Chicago,982,1130,0,0,1378,926,790,0,2131,0
Disneyland,0,1023,0,0,0,1882,0,989,408,1162
Miami,1491,0,1378,0,0,864,1278,0,0,0
New Orleans,1548,1307,926,1882,864,0,1304,0,0,0
New York,215,1791,790,0,1278,1304,0,0,0,0
Portland,0,1241,0,989,0,0,0,0,635,173
San Francisco,0,1221,0,408,0,0,0,635,0,807
Seattle,0,1315,0,1162,0,0,0,173,807,0
